"yr","site","nin.phase.strt","nin.str.strt","nin.phase.end","nin.str.end","mean.NDVI.win","mean.NDVI.spr","mean.NDVI.sum","mean.NDVI.fall","mean.NDVI.year"
1998,"Lloyd","nina","mod","nino","vry.str",0.644566666666667,0.620383333333333,0.644133333333333,0.663966666666667,0.6432625
1998,"scrub","nina","mod","nino","vry.str",0.425983333333333,0.40625,0.492,0.4922,0.454108333333333
1999,"broadleaf","nina","mod","nina","mod",0.5773,0.60385,0.69635,0.773733333333333,0.662808333333333
1999,"Lloyd","nina","mod","nina","mod",0.629966666666667,0.608916666666667,0.658783333333333,0.622266666666667,0.629983333333333
1999,"scrub","nina","mod","nina","mod",0.369583333333333,0.356483333333333,0.498316666666667,0.518983333333333,0.435841666666667
2000,"broadleaf","nina","wk","nina","mod",0.66895,0.699416666666667,0.659216666666667,0.724583333333333,0.688041666666667
2000,"Lloyd","nina","wk","nina","mod",0.656,0.6245,0.623733333333333,0.647266666666667,0.637875
2000,"scrub","nina","wk","nina","mod",0.400866666666667,0.438683333333333,0.432383333333333,0.464833333333333,0.434191666666667
2001,"broadleaf","no_event","no_event","nina","wk",0.653916666666667,0.694516666666667,0.692,0.715816666666667,0.6890625
2001,"Lloyd","no_event","no_event","nina","wk",0.665833333333333,0.621683333333333,0.6293,0.650816666666667,0.641908333333333
2001,"scrub","no_event","no_event","nina","wk",0.3875,0.4469,0.44655,0.47015,0.437775
2002,"broadleaf","nino","mod","no_event","no_event",0.672716666666667,0.737933333333333,0.7187,0.780183333333333,0.727383333333333
2002,"Lloyd","nino","mod","no_event","no_event",0.660116666666667,0.638316666666667,0.631866666666667,0.653933333333333,0.646058333333333
2002,"scrub","nino","mod","no_event","no_event",0.378533333333333,0.444066666666667,0.422833333333333,0.488866666666667,0.433575
2003,"broadleaf","no_event","no_event","nino","mod",0.619233333333333,0.72375,0.688466666666667,0.7674,0.6997125
2003,"Lloyd","no_event","no_event","nino","mod",0.648283333333333,0.610233333333333,0.642466666666667,0.629716666666667,0.632675
